timestamp,memory_used_mib,utilization_gpu_pct,power_draw_w,temperature_c
2026/07/30 14:31:17.605, 24271, 63, 161.17, 47
2026/07/30 14:31:19.605, 24271, 63, 162.10, 47
2026/07/30 14:31:21.606, 24271, 63, 164.43, 47
2026/07/30 14:31:23.606, 24271, 64, 165.37, 47
2026/07/30 14:31:25.606, 24271, 63, 167.80, 47
2026/07/30 14:31:27.607, 24271, 64, 166.59, 47
2026/07/30 14:31:29.607, 24271, 64, 166.86, 47
2026/07/30 14:31:31.607, 24271, 63, 166.59, 47
2026/07/30 14:31:33.608, 24271, 63, 161.50, 47
2026/07/30 14:31:35.608, 24271, 64, 158.13, 47
2026/07/30 14:31:37.608, 24271, 65, 161.77, 47
2026/07/30 14:31:39.608, 24271, 65, 165.37, 47
2026/07/30 14:31:41.609, 24271, 65, 167.80, 47
2026/07/30 14:31:43.609, 24271, 65, 166.86, 47
2026/07/30 14:31:45.609, 24271, 66, 166.59, 47
2026/07/30 14:31:47.609, 24271, 65, 168.74, 47
2026/07/30 14:31:49.610, 24271, 66, 178.31, 47
2026/07/30 14:31:51.610, 24271, 70, 166.08, 47
2026/07/30 14:31:53.610, 24271, 64, 160.55, 47
2026/07/30 14:31:55.610, 24271, 63, 160.89, 47
2026/07/30 14:31:57.611, 24271, 63, 164.59, 47
2026/07/30 14:31:59.611, 24271, 64, 165.64, 47
2026/07/30 14:32:01.611, 24271, 63, 165.97, 47
2026/07/30 14:32:03.611, 24271, 64, 166.59, 47
2026/07/30 14:32:05.612, 24271, 63, 165.64, 47
2026/07/30 14:32:07.612, 24271, 64, 167.52, 47
2026/07/30 14:32:09.612, 24271, 64, 168.24, 47
2026/07/30 14:32:11.612, 24271, 63, 162.71, 47
2026/07/30 14:32:13.613, 24271, 63, 163.32, 47
2026/07/30 14:32:15.613, 24271, 63, 163.65, 47
2026/07/30 14:32:17.613, 24271, 64, 162.71, 47
2026/07/30 14:32:19.613, 24271, 64, 164.86, 47
2026/07/30 14:32:21.614, 24271, 65, 169.18, 47
2026/07/30 14:32:23.614, 24271, 64, 169.18, 47
2026/07/30 14:32:25.614, 24271, 65, 170.39, 47
2026/07/30 14:32:27.615, 24271, 64, 168.24, 47
2026/07/30 14:32:29.615, 24271, 64, 165.31, 47
2026/07/30 14:32:31.615, 24271, 62, 165.03, 47
